DATE BEGIN;DATE END;ACTIVITY;HABITANT
2017/11/02 12:04:26.0;2017/11/02 12:05:27.0;Act10;Mario
2017/11/02 12:05:47.0;2017/11/02 12:08:39.0;Act03;Mario
2017/11/02 12:09:15.0;2017/11/02 12:16:48.0;Act06;Mario
2017/11/02 12:17:07.0;2017/11/02 12:18:16.0;Act17;Mario
2017/11/02 12:18:39.0;2017/11/02 12:21:06.0;Act09;Mario
2017/11/02 12:21:36.0;2017/11/02 12:22:18.0;Act14;Mario
2017/11/02 12:22:58.0;2017/11/02 12:25:01.0;Act09;Mario
2017/11/02 12:25:11.0;2017/11/02 12:26:20.0;Act18;Mario
2017/11/02 12:26:57.0;2017/11/02 12:27:42.0;Act20;Mario
2017/11/02 12:27:53.0;2017/11/02 12:28:57.0;Act08;Mario
2017/11/02 12:29:48.0;2017/11/02 12:30:49.0;Act13;Mario
