TIMESTAMP;OBJECT;STATE;HABITANT
2017/11/03 13:10:38.0;M01;Open;Mario 
2017/11/03 13:10:41.0;SM4;Movement;Mario 
2017/11/03 13:10:47.0;M01;Close;Mario 
2017/11/03 13:11:44.0;C04;Open;Mario 
2017/11/03 13:11:55.0;C04;Close;Mario 
2017/11/03 13:12:02.0;D10;Open;Mario 
2017/11/03 13:12:16.0;D10;Close;Mario 
2017/11/03 13:12:33.0;SM1;No movement;Mario 
2017/11/03 13:12:44.0;SM1;Movement;Mario 
2017/11/03 13:12:59.0;SM1;No movement;Mario 
2017/11/03 13:13:06.0;SM1;Movement;Mario 
2017/11/03 13:13:41.0;SM1;No movement;Mario 
2017/11/03 13:13:43.0;SM1;Movement;Mario 
2017/11/03 13:14:03.0;SM1;No movement;Mario 
2017/11/03 13:15:11.0;SM1;Movement;Mario 
2017/11/03 13:15:41.0;SM1;No movement;Mario 
2017/11/03 13:15:42.0;SM1;Movement;Mario 
2017/11/03 13:15:51.0;SM1;No movement;Mario 
2017/11/03 13:15:58.0;SM1;Movement;Mario 
2017/11/03 13:16:08.0;SM1;No movement;Mario 
2017/11/03 13:16:34.0;SM1;Movement;Mario 
2017/11/03 13:16:54.0;SM1;No movement;Mario 
2017/11/03 13:16:55.0;SM1;Movement;Mario 
2017/11/03 13:17:12.0;D08;Open;Mario 
2017/11/03 13:17:18.0;D08;Close;Mario 
2017/11/03 13:17:40.0;SM1;No movement;Mario 
2017/11/03 13:18:24.0;SM1;Movement;Mario 
2017/11/03 13:18:59.0;SM1;No movement;Mario 
2017/11/03 13:19:08.0;SM1;Movement;Mario 
2017/11/03 13:19:23.0;SM1;No movement;Mario 
2017/11/03 13:19:41.0;SM1;Movement;Mario 
2017/11/03 13:19:56.0;SM1;No movement;Mario 
2017/11/03 13:19:58.0;SM1;Movement;Mario 
2017/11/03 13:20:08.0;SM1;No movement;Mario 
2017/11/03 13:20:13.0;SM1;Movement;Mario 
2017/11/03 13:20:51.0;D10;Open;Mario 
2017/11/03 13:21:01.0;D10;Close;Mario 
2017/11/03 13:21:38.0;SM1;No movement;Mario 
2017/11/03 13:22:21.0;SM1;No movement;Mario 
2017/11/03 13:22:36.0;SM1;Movement;Mario 
2017/11/03 13:22:51.0;SM1;No movement;Mario 
2017/11/03 13:25:14.0;SM1;Movement;Mario 
2017/11/03 13:25:24.0;SM1;No movement;Mario 
2017/11/03 13:27:26.0;SM1;Movement;Mario 
2017/11/03 13:27:56.0;SM1;No movement;Mario 
2017/11/03 13:27:59.0;SM1;Movement;Mario 
2017/11/03 13:27:59.0;D04;Open;Mario 
2017/11/03 13:28:01.0;D04;Close;Mario 
2017/11/03 13:28:32.0;C01;Open;Mario 
2017/11/03 13:28:34.0;SM1;No movement;Mario 
2017/11/03 13:28:56.0;C01;Close;Mario 
2017/11/03 13:28:57.0;C01;Close;Mario 
2017/11/03 13:29:21.0;SM1;Movement;Mario 
2017/11/03 13:29:31.0;SM1;No movement;Mario 
2017/11/03 13:30:06.0;SM1;Movement;Mario 
2017/11/03 13:31:53.0;D05;Open;Mario 
2017/11/03 13:32:17.0;D05;Close;Mario 
2017/11/03 13:32:18.0;D05;Close;Mario 
2017/11/03 13:32:18.0;D05;Open;Mario 
2017/11/03 13:32:58.0;SM1;No movement;Mario 
2017/11/03 13:32:59.0;SM1;Movement;Mario 
2017/11/03 13:33:08.0;SM1;No movement;Mario 
2017/11/03 13:33:08.0;SM4;Movement;Mario 
2017/11/03 13:33:22.0;M01;Open;Mario 
2017/11/03 13:33:23.0;SM4;No movement;Mario 
2017/11/03 13:33:24.0;SM4;Movement;Mario 
2017/11/03 13:33:37.0;M01;Close;Mario 
2017/11/03 13:33:44.0;SM4;No movement;Mario 
2017/11/03 13:33:46.0;SM4;Movement;Mario 
2017/11/03 13:33:50.0;SM1;Movement;Mario 
2017/11/03 13:33:56.0;SM4;No movement;Mario 
2017/11/03 13:34:15.0;SM1;No movement;Mario 
2017/11/03 13:34:53.0;SM3;No movement;Mario 
2017/11/03 13:35:04.0;SM3;Movement;Mario 
2017/11/03 13:35:07.0;C09;Open;Mario 
2017/11/03 13:35:08.0;C09;Open;Mario 
2017/11/03 13:35:15.0;SM4;No movement;Mario 
2017/11/03 13:35:17.0;SM4;Movement;Mario 
2017/11/03 13:35:20.0;C09;Close;Mario 
2017/11/03 13:36:26.0;SM4;No movement;Mario 
2017/11/03 13:36:29.0;SM4;Movement;Mario 
2017/11/03 13:36:39.0;SM4;No movement;Mario 
2017/11/03 13:37:14.0;SM5;No movement;Mario 
2017/11/03 13:37:26.0;SM5;Movement;Mario 
2017/11/03 13:37:36.0;SM5;No movement;Mario 
2017/11/03 13:37:48.0;SM5;Movement;Mario 
2017/11/03 13:38:08.0;SM5;No movement;Mario 
2017/11/03 13:39:20.0;SM5;Movement;Mario 
2017/11/03 13:39:45.0;SM5;No movement;Mario 
2017/11/03 13:39:59.0;SM5;Movement;Mario 
2017/11/03 13:40:08.0;SM5;No movement;Mario 
2017/11/03 13:40:43.0;SM5;Movement;Mario 
2017/11/03 13:40:53.0;SM5;No movement;Mario 
2017/11/03 13:42:36.0;SM5;Movement;Mario 
2017/11/03 13:42:46.0;SM5;No movement;Mario 
2017/11/03 13:45:44.0;SM5;Movement;Mario 
2017/11/03 13:46:00.0;SM5;No movement;Mario 
2017/11/03 13:50:28.0;SM5;Movement;Mario 
2017/11/03 13:50:38.0;SM5;No movement;Mario 
2017/11/03 13:52:45.0;SM5;Movement;Mario 
2017/11/03 13:53:00.0;SM5;No movement;Mario 
2017/11/03 13:53:04.0;SM5;Movement;Mario 
2017/11/03 13:53:29.0;SM4;Movement;Mario 
2017/11/03 13:53:39.0;SM4;No movement;Mario 
2017/11/03 13:53:45.0;SM5;No movement;Mario 
2017/11/03 13:53:45.0;SM5;Movement;Mario 
2017/11/03 13:53:50.0;SM4;Movement;Mario 
2017/11/03 13:54:23.0;SM4;Movement;Mario 
2017/11/03 13:54:32.0;M01;Open;Mario 
2017/11/03 13:54:33.0;SM4;No movement;Mario 
2017/11/03 13:54:36.0;SM4;Movement;Mario 
2017/11/03 13:54:37.0;M01;Close;Mario 
2017/11/03 13:54:46.0;SM4;No movement;Mario 
