round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,pool_size,activation,losses
50,2.861234706034635,0.1270053497849301,2.900455568563492,0.10461230114859374,256,16,2,sigmoid,categorical_crossentropy
20,0.017238354686408597,0.1270053497849301,0.017304882360497778,0.10461230114859374,64,16,2,sigmoid,logcosh
14,0.13831133105255008,0.9558823555707932,0.020037356847975987,0.9989973262629726,16,16,2,relu,categorical_crossentropy
28,0.3599878924825343,0.9131016092584094,0.08954597522350081,0.9796123006804422,16,4,2,relu,categorical_crossentropy
16,0.001966011975914017,0.9358288806310312,0.0012908370085640056,0.9585561522028663,128,256,2,sigmoid,logcosh
25,0.1424367758537072,0.9598930505189028,0.019262451834923252,0.9983288771049543,64,16,2,softmax,categorical_crossentropy
31,0.10416408401261167,0.9665775420990858,0.009199530785658779,0.9989973262629726,16,64,2,sigmoid,categorical_crossentropy
26,0.1544979693154701,0.9665775420990858,0.012651712904519908,0.9989973262629726,128,128,2,sigmoid,categorical_crossentropy
47,0.10549063487819524,0.9652406437830492,0.002872178817841936,1.0,16,16,2,sigmoid,categorical_crossentropy
10,0.10021664168560525,0.9652406437830492,0.008124628305777296,0.9993315508419817,64,64,2,relu,categorical_crossentropy
50,0.0031875603106948027,0.8796791513574952,0.0016996310266285588,0.9401738003075601,128,4,2,relu,logcosh
17,0.0016302338506780768,0.9451871690425006,0.0008084252750026962,0.9675802158361132,128,16,2,relu,logcosh
20,0.0018167705277953184,0.9358288808302446,0.0007442509840950871,0.9719251353433107,16,256,2,softmax,logcosh
7,0.001268006628750336,0.9558823555707932,0.0005348667902539415,0.9822860973125155,256,256,2,relu,logcosh
13,0.1041821814282045,0.9612299488349394,0.0061747175803899676,0.9996657754209909,256,256,2,softmax,categorical_crossentropy
32,0.37366632196397326,0.8890374395697512,0.12758212836879806,0.9669117666780949,4,64,2,softmax,categorical_crossentropy
50,2.861234541882806,0.1270053497849301,2.900455575814859,0.10461230114859374,256,4,2,softmax,categorical_crossentropy
27,0.0011052593504321077,0.9612299488349394,0.00012608015441502738,0.995320855893872,256,64,2,softmax,logcosh
50,0.004319021624396287,0.8342246078153982,0.0038998841426770505,0.8589572266620749,4,4,2,softmax,logcosh
25,0.013945970722264984,0.31417113000696356,0.014178491699115215,0.2877673857103296,128,16,2,sigmoid,logcosh
38,0.0021003778617607913,0.9278074907348117,0.0007649066863187776,0.9749331565743143,256,4,2,relu,logcosh
14,0.13822677347982007,0.9598930505189028,0.011964168070451106,0.9989973262629726,16,256,2,softmax,categorical_crossentropy
19,0.0016415811529795655,0.9425133724104274,0.0006277465322653159,0.9766042794494386,256,128,2,softmax,logcosh
50,0.003596604073174245,0.8716577614612758,0.0023535221087217953,0.9274732662554093,4,4,2,relu,logcosh
26,0.14256735986362493,0.95320855893872,0.0032204971734408425,0.9996657754209909,16,64,2,softmax,categorical_crossentropy
8,0.0010623509037345148,0.9652406437830492,0.0003424612413623625,0.9909759363667532,128,128,2,relu,logcosh
19,0.017238343303853817,0.1270053497849301,0.01730488258274521,0.10461230114859374,128,4,2,softmax,logcosh
22,0.017238352243554463,0.1270053497849301,0.017304882598931298,0.10494652580230791,128,4,2,sigmoid,logcosh
9,0.11458116528367956,0.9652406437830492,0.02467521478616073,0.9956550804728811,16,256,2,relu,categorical_crossentropy
50,0.2986785921160465,0.9064171178774401,0.1416584925628317,0.9572192538868297,4,16,2,softmax,categorical_crossentropy
19,0.0012096877016921097,0.9598930505189028,0.000550820446038876,0.9779411777654753,128,256,2,softmax,logcosh
27,0.0028040985312112483,0.9024064229293303,0.0015113073448358657,0.9558823555707932,4,16,2,relu,logcosh
21,0.2575485116824256,0.9318181856829215,0.0705827151081209,0.985962567681616,4,64,2,relu,categorical_crossentropy
8,0.0011883014790150242,0.9612299488349394,0.0003473535708871553,0.9896390380507166,128,64,2,relu,logcosh
