round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
15,2.9311807775631253,0.10196445281534579,2.905227069408573,0.11134502931296476,128,128,0.5,2,sigmoid,categorical_crossentropy
14,0.6631329412778807,0.7932647364902318,0.11978394480798532,0.9714619894996721,128,128,0.0,2,softmax,categorical_crossentropy
17,0.011207200810351267,0.5650140331854209,0.009566364635458357,0.5904093637452488,256,16,0.5,2,relu,logcosh
16,0.009501708786216072,0.6557530433748011,0.003452097398966768,0.883040937851047,4,64,0.0,2,relu,logcosh
10,0.01734191965280402,0.10196445281534579,0.017313282392178362,0.11134502931296476,256,64,0.5,2,sigmoid,logcosh
13,0.0076935350701659725,0.7408793294981777,0.0006674580243707361,0.9810526322377355,256,128,0.0,2,relu,logcosh
21,1.9833135208860355,0.5350795158222527,2.0659640283326546,0.3497076073933763,64,4,0.5,2,relu,categorical_crossentropy
4,0.03574262832276614,0.011225444368383838,0.034896956554107496,0.0346198831908187,256,256,0.0,2,sigmoid,logcosh
27,1.6301797725350864,0.5238540710356885,1.9924645662482021,0.38923977247455666,64,4,0.5,2,relu,categorical_crossentropy
21,0.006893773199897234,0.7567820422720754,0.003176100696898541,0.8912280733822382,128,128,0.5,2,softmax,logcosh
15,0.01617160763635524,0.22731524828553087,0.01573338594329928,0.2105263179331495,4,4,0.5,2,softmax,logcosh
16,0.005120596063347837,0.8325537913056374,0.0010500184223349335,0.9625731010534609,128,128,0.5,2,relu,logcosh
11,0.007509927360474637,0.7315247926174535,0.0021470954818026797,0.9256140371686534,16,256,0.5,2,relu,logcosh
11,0.013535124414737313,0.456501405452656,0.010637485577914507,0.5642105283270106,4,64,0.0,2,softmax,logcosh
15,2.9314147054424233,0.10196445281534579,2.905201061984949,0.11134502931296476,128,4,0.5,2,softmax,categorical_crossentropy
16,0.0062515315555645495,0.7680074864174296,0.0031629740380030033,0.8947368447369303,16,256,0.5,2,softmax,logcosh
8,0.016096289360004918,0.2478952296740324,0.014289623789527325,0.2809356744003575,16,16,0.5,2,softmax,logcosh
10,0.006339743695541004,0.7885874682380508,0.0015796171561355539,0.9473684223248945,128,64,0.0,2,relu,logcosh
10,0.01734093028330658,0.10196445281534579,0.017313472100952913,0.11742690067890792,128,64,0.0,2,softmax,logcosh
10,0.01734006359748075,0.10196445281534579,0.017313300968523612,0.11134502931296476,64,4,0.5,2,softmax,logcosh
18,0.007817845258459015,0.6922357376068969,0.005289700917192201,0.8011695943206374,4,64,0.5,2,relu,logcosh
23,1.1614478809068696,0.6875584691316865,0.5634101517397481,0.8112280752575188,4,128,0.5,2,sigmoid,categorical_crossentropy
15,2.9313540282485864,0.10196445281534579,2.905204627388402,0.11134502931296476,128,16,0.5,2,softmax,categorical_crossentropy
9,0.006750194815376334,0.7614593108588006,0.0018718324189122356,0.9347368443047094,128,256,0.5,2,relu,logcosh
34,0.013103223602712512,0.4733395720749285,0.013800369663493905,0.33941521050288664,4,4,0.5,2,relu,logcosh
10,0.017340441240508275,0.10196445281534579,0.0173134316260006,0.11134502931296476,128,64,0.5,2,sigmoid,logcosh
25,1.4207275290376706,0.5528531362232033,1.3277530194536071,0.5663157985224361,16,16,0.5,2,softmax,categorical_crossentropy
20,0.013081355448174358,0.463049579882198,0.009309087059653975,0.6098245626304581,16,4,0.0,2,softmax,logcosh
23,1.2007821795398412,0.6473339609697224,0.6992684416498782,0.7623391876269502,4,64,0.5,2,sigmoid,categorical_crossentropy
19,0.008997268803382766,0.6922357376765937,0.0010150881124036334,0.9712280709492532,64,128,0.0,2,softmax,logcosh
16,2.9318763480440717,0.10196445281534579,2.9046765673230266,0.11134502931296476,128,64,0.5,2,softmax,categorical_crossentropy
15,2.931383282587392,0.10196445281534579,2.9052028831682706,0.11134502931296476,16,4,0.5,2,sigmoid,categorical_crossentropy
15,2.9310642022524513,0.10196445281534579,2.9055188404886345,0.13988304108555555,256,128,0.0,2,sigmoid,categorical_crossentropy
26,0.00576808052064875,0.8101029027640206,0.0021009201834702586,0.9288888903737765,16,64,0.0,2,sigmoid,logcosh
10,0.5412452094220692,0.8493919581648788,0.04882389643496513,0.9857309948282632,128,64,0.0,2,relu,categorical_crossentropy
